0       [265 511 557 625 566 413 240 108  36   8   1   0   0]
10000   [ 63 151 249 403 545 604 544 396 230 104  35   8   1]
20000   [ 85 228 383 555 637 586 435 257 118  40   9   1   0]
30000   [ 24  70 143 265 414 542 588 528 386 226 103  35   8], 0.03% impossible
40000   [ 20  77 188 358 533 634 606 462 277 126  42   9   1]
50000   [ 47  89 104 158 250 377 499 554 507 378 224 103  35], 0.27% impossible
60000   [ 67 189 338 514 622 607 477 300 148  55  14   2   0]
70000   [ 28  84 170 301 441 542 564 493 358 211  98  34   8], 0.03% impossible
80000   [ 15  62 163 329 512 628 616 485 304 149  55  14   2]
90000   [  7  29  78 168 295 436 541 567 498 361 212  98  34], 0.27% impossible
100000  [  2  14  56 153 313 496 625 626 501 318 156  57  14], 0.06% impossible
110000  [ 22  57  96 151 214 290 379 464 503 461 347 209  98], 1.29% impossible
120000  [ 14  57 149 303 482 612 626 514 333 166  60  15   2]
130000  [  8  32  82 171 298 436 539 563 493 358 212  98  34], 0.27% impossible
140000  [  1  11  51 146 299 477 608 626 519 341 173  64  16], 0.06% impossible
150000  [  1   8  33  92 192 321 447 531 542 473 346 207  97], 1.29% impossible
160000  [  0   1   9  41 124 272 457 604 638 539 362 189  74], 0.69% impossible
170000  [ 72 147 172 198 196 191 221 295 380 427 401 309 191], 4.02% impossible
180000  [ 41 127 256 432 581 632 554 388 211  85  23   3   0]
190000  [ 35 106 209 349 478 548 533 442 314 187  90  33   8], 0.03% impossible
200000  [  9  39 111 244 415 563 620 554 400 231 104  35   8], 0.03% impossible
210000  [  7  32  93 207 359 500 570 545 439 298 169  78  28], 0.24% impossible
220000  [  1   9  40 117 251 420 563 612 546 396 230 104  35], 0.27% impossible
230000  [ 28  78 141 224 302 365 414 442 430 368 268 161  77], 1.08% impossible
240000  [  9  40 114 247 418 566 619 550 395 228 103  35   8], 0.03% impossible
250000  [  7  30  84 187 331 478 571 567 468 318 177  79  28], 0.24% impossible
260000  [  1   9  40 118 255 424 565 612 542 392 228 104  35], 0.27% impossible
270000  [  1   7  29  82 180 320 465 563 569 478 331 187  84], 1.11% impossible
280000  [  0   1   8  37 112 249 427 576 624 546 388 222 100], 1.29% impossible
290000  [  7  29  76 155 249 331 381 404 413 402 352 262 160], 3.39% impossible
300000  [  1   8  35 105 235 409 566 629 561 404 232 104  35], 0.27% impossible
310000  [  1   7  29  83 183 322 467 564 569 476 328 184  83], 1.11% impossible
320000  [  0   1   8  35 104 231 401 555 622 565 415 243 109], 1.35% impossible
330000  [  0   1   7  29  84 187 330 476 566 562 466 322 183], 3.60% impossible
340000  [  0   0   1   8  35 102 224 387 541 615 570 427 255], 5.04% impossible
350000  [ 29  84 160 261 342 366 329 269 238 251 275 268 216], 7.38% impossible
360000  [  8  36 104 230 396 546 612 563 420 251 117  40   9], 0.03% impossible
370000  [  7  29  79 174 311 460 566 576 486 336 188  84  29], 0.24% impossible
380000  [  1   8  35 103 227 391 542 614 568 426 254 116  39], 0.30% impossible
390000  [  1   7  28  79 173 307 452 556 572 489 344 198  89], 1.14% impossible
400000  [  0   1   8  35 104 231 399 552 617 561 416 246 114], 1.47% impossible
410000  [  8  33  85 170 274 367 422 430 406 364 303 225 141], 3.18% impossible
420000  [  0   4  27  95 224 398 557 629 575 423 246 110  36], 0.27% impossible
430000  [  1   8  33  92 194 325 452 533 540 468 342 205  97], 1.29% impossible
440000  [  0   0   3  21  78 199 375 549 638 595 445 262 119], 1.50% impossible
450000  [  0   1   8  34  93 197 333 463 542 540 459 331 197], 4.05% impossible
